section,law_type,description,crpc_equivalent
35,BNSS,Arrest of persons - When police may arrest without warrant,41
36,BNSS,Notice of appearance before police officer,41A
39,BNSS,Right of arrested person to meet an advocate of his choice during interrogation,41D
43,BNSS,Arrest how made,46
47,BNSS,Person arrested to be informed of grounds of arrest and right to bail,50
58,BNSS,Person arrested not to be detained more than twenty-four hours,57
173,BNSS,Information in cognizable cases (FIR) - Now allows e-FIR,154
175,BNSS,Police officer's power to investigate cognizable case,156
179,BNSS,Examination of witnesses by police,161
183,BNSS,Recording of confessions and statements,164
187,BNSS,Procedure when investigation cannot be completed in twenty-four hours (Remand) - Detention up to 60/90 days,167
193,BNSS,Report of police officer on completion of investigation (Charge Sheet),173
223,BNSS,Cognizance of offences by Magistrates,190
250,BNSS,Discharge (Court of Session),227
251,BNSS,Framing of charge (Court of Session),228
262,BNSS,Discharge (Warrant Cases by Magistrate),239
263,BNSS,Framing of charge (Warrant Cases by Magistrate),240
300,BNSS,Person once convicted or acquitted not to be tried for same offence,300
340,BNSS,Procedure in cases of inquiring into offence committed in court (Perjury),340
398,BNSS,Legal aid to accused at State expense,304
479,BNSS,Maximum period for which an undertrial prisoner can be detained - New relief for first-time offenders (1/3rd of max sentence),436A
480,BNSS,In what cases bail to be taken (Bailable offences),436
481,BNSS,When bail may be taken in case of non-bailable offence (Magistrate's power),437
482,BNSS,Direction for grant of bail to person apprehending arrest (Anticipatory Bail),438
483,BNSS,Special powers of High Court or Court of Session regarding bail,439
484,BNSS,Bail to require accused to appear before next appellate Court,437A
485,BNSS,Power to issue direction for attachment and forfeiture of property,New/105C
528,BNSS,Saving of inherent powers of High Court (Quashing),482
530,BNSS,Trial and proceedings to be held in electronic mode,New
