article,part,description
12,III,"Definition of State (Fundamental Rights apply against State)."
13,III,"Laws inconsistent with or in derogation of the fundamental rights (Judicial Review)."
14,III,"Equality before law - The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India."
15,III,"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth."
19,III,"Protection of certain rights regarding freedom of speech, etc. (1)(a) speech and expression, (b) assembly peaceably, (c) unions/associations, (d) move freely, (e) reside anywhere, (g) profession/trade."
20,III,"Protection in respect of conviction for offences. (1) No ex-post facto law. (2) No Double Jeopardy (autrefois convict). (3) No Self-Incrimination (person accused cannot be compelled to be witness against self)."
21,III,"Protection of life and personal liberty. No person shall be deprived of his life or personal liberty except according to procedure established by law. (Right to Fair Trial, Speedy Trial, Legal Aid, Privacy)."
21A,III,"Right to education."
22,III,"Protection against arrest and detention in certain cases. (1) Right to be informed of grounds + right to lawyer. (2) Right to be produced before Magistrate within 24 hours. (3) Exceptions for Preventive Detention."
23,III,"Prohibition of traffic in human beings and forced labour."
24,III,"Prohibition of employment of children in factories, etc."
25,III,"Freedom of conscience and free profession, practice and propagation of religion."
32,III,"Remedies for enforcement of rights conferred by this Part. Right to move Supreme Court for Writs: Habeas Corpus, Mandamus, Prohibition, Quo Warranto, Certiorari."
37,IV,"Application of the principles contained in this Part (DPSP not enforceable by court but fundamental in governance)."
39A,IV,"Equal justice and free legal aid. State to secure justice involves no denial due to economic/other disabilities."
44,IV,"Uniform civil code for the citizens."
50,IV,"Separation of judiciary from executive."
51A,IVA,"Fundamental Duties. (a) Abide by Constitution, (b) Cherish freedom struggle, (c) Uphold sovereignty, (d) Defend country..."
72,V,"Power of President to grant pardons, etc., and to suspend, remit or commute sentences in certain cases (Death penalty mercy petitions)."
136,V,"Special leave to appeal by the Supreme Court (SLP)."
141,V,"Law declared by Supreme Court to be binding on all courts."
142,V,"Enforcement of decrees and orders of Supreme Court and orders as to discovery, etc. (Complete Justice)."
144,V,"Civil and judicial authorities to act in aid of the Supreme Court."
161,VI,"Power of Governor to grant pardons, etc., and to suspend, remit or commute sentences in certain cases."
226,VI,"Power of High Courts to issue certain writs (Habeas Corpus, Mandamus, etc.) for enforcement of Fundamental Rights and for any other purpose."
227,VI,"Power of superintendence over all courts by the High Court."
300A,XII,"Persons not to be deprived of property save by authority of law."
