Section,Order,Description
9,,"Courts to try all civil suits unless barred. The Courts shall (subject to the provisions herein contained) have jurisdiction to try all suits of a civil nature excepting suits of which their cognizance is either expressly or impliedly barred."
10,,"Stay of suit (Res Sub-Judice). No Court shall proceed with the trial of any suit in which the matter in issue is also directly and substantially in issue in a previously instituted suit between the same parties."
11,,"Res Judicata. No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties... and has been heard and finally decided."
20,,"Other suits to be instituted where defendants reside or cause of action arises."
80,,"Notice. No suit shall be instituted against the Government or against a public officer in respect of any act purporting to be done by such public officer in his official capacity, until the expiration of two months next after notice in writing has been delivered."
89,,"Settlement of disputes outside the Court. (Arbitration, Conciliation, Judicial Settlement, Mediation)."
96,,"Appeal from original decree."
100,,"Second Appeal. Save as otherwise expressly provided... an appeal shall lie to the High Court from every decree passed in appeal... if the High Court is satisfied that the case involves a substantial question of law."
115,,"Revision. The High Court may call for the record of any case which has been decided by any Court subordinate to such High Court..."
144,,"Application for restitution."
148A,,"Right to lodge a caveat. Where an application is expected to be made... any party aiming to oppose the application may lodge a caveat."
151,,"Saving of inherent powers of Court. Nothing in this Code shall be deemed to limit or otherwise affect the inherent power of the Court to make such orders as may be necessary for the ends of justice or to prevent abuse of the process of the Court."
,Order 5,"Issue and Service of Summons."
,Order 6,"Pleadings generally."
,Order 7,"Plaint."
,Order 8,"Written Statement, Set-off and Counter-claim."
,Order 9,"Appearance of parties and consequence of non-appearance (Ex-parte restrictions)."
,Order 39,"Temporary Injunctions and Interlocutory Orders."
,Order 41,"Appeals from Original Decrees."
