Section,Chapter,Chapter_name,Section _name,Description
2,1,PRELIMINARY,Definitions,"Defines key terms like bailable offence, cognizable offence, complaint, investigation, police report, etc."
4,1,PRELIMINARY,"Trial of offences under the Indian Penal Code and other laws","All offences under IPC shall be investigated, inquired into, tried, and otherwise dealt with according to the provisions of CrPC."
6,2,"CONSTITUTION OF CRIMINAL COURTS AND OFFICES","Classes of Criminal Courts","Besides High Courts and Courts constituted under any law, there shall be Courts of Session, Judicial Magistrates of first class (Metropolitan Magistrates in metro areas), Judicial Magistrates of second class, and Executive Magistrates."
41,5,"ARREST OF PERSONS","When police may arrest without warrant","Police may arrest without warrant any person who commits a cognizable offence in presence of police, or against whom reasonable complaint/credible information has been made of committing a cognizable offence punishable with imprisonment up to 7 years (subject to conditions), or generally for offences punishable with imprisonment > 7 years."
41A,5,"ARREST OF PERSONS","Notice of appearance before police officer","Where arrest is not required under section 41(1), police shall issue notice directing person to appear. Person complying shall not be arrested unless recorded reasons exist."
41B,5,"ARREST OF PERSONS","Procedure of arrest and duties of officer making arrest","Police officer must bear accurate, visible identification; Allow arrestee to inform a friend/relative; Prepare memo of arrest."
41D,5,"ARREST OF PERSONS","Right of arrested person to meet an advocate of his choice during interrogation","Arrested person has right to meet advocate during interrogation, though not throughout interrogation."
46,5,"ARREST OF PERSONS","Arrest how made","Police officer shall touch or confine the body of person to be arrested unless there be submission to custody. No woman to be arrested after sunset and before sunrise except in exceptional circumstances with permission of Judicial Magistrate."
50,5,"ARREST OF PERSONS","Person arrested to be informed of grounds of arrest and of right to bail","Police officer arresting without warrant must inform arrestee of full particulars of offence and grounds of arrest. If bailable offence, must inform of right to be released on bail."
54,5,"ARREST OF PERSONS","Examination of arrested person by medical practitioner at the request of the arrested person","Arrested person may request medical examination if it will afford evidence disproving commission of offence or establishing commission by another."
57,5,"ARREST OF PERSONS","Person arrested not to be detained more than twenty-four hours","No police officer shall detain in custody a person arrested without warrant for longer than is reasonable, and not exceeding 24 hours (exclusive of travel time) without Magistrate's special order under section 167."
82,6,"PROCESSES TO COMPEL APPEARANCE","Proclamation for person absconding","If Court believes person is absconding to avoid warrant, it may publish written proclamation requiring appearance at specified place and time (not less than 30 days)."
125,9,"ORDER FOR MAINTENANCE OF WIVES, CHILDREN AND PARENTS","Order for maintenance of wives, children and parents","Magistrate may order person with sufficient means to pay monthly maintenance to wife, legitimate/illegitimate minor children, or parents unable to maintain themselves."
144,10,"MAINTENANCE OF PUBLIC ORDER AND TRANQUILLITY","Power to issue order in urgent cases of nuisance or apprehended danger","District Magistrate/SDM/Executive Magistrate may issue written order directing any person to abstain from certain act or take certain order with property, to prevent obstruction, annoyance, injury, danger to human life, or disturbance of public tranquility/riot/affray."
154,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Information in cognizable cases","First Information Report (FIR). Information regarding cognizable offence given to officer in charge of police station shall be reduced to writing. Copy given free of cost to informant."
156,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Police officer's power to investigate cognizable case","Officer in charge of police station may investigate any cognizable case without order of Magistrate. Magistrate empowered under section 190 may order such an investigation (156(3))."
160,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Police officer's power to require attendance of witnesses","Police officer making investigation may require attendance of witnesses within limits of own or adjoining station. Provided no male under 15 or above 65, woman, or mentally/physically disabled person shall be required to attend at any place other than their residence."
161,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Examination of witnesses by police","Police officer may examine orally any person supposed to be acquainted with facts and circumstances of case. Person bound to answer truly generally, except questions exposing to criminal charge."
164,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Recording of confessions and statements","Magistrate may record any confession or statement made to him in course of investigation. Confession must be voluntary."
167,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Procedure when investigation cannot be completed in twenty-four hours","Magistrate may authorize detention of accused in custody (police or judicial) for term not exceeding 15 days. Total detention pending investigation not to exceed 90 days (death/life/10+ years offences) or 60 days (other offences). On expiry, accused entitled to 'default bail'."
173,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Report of police officer on completion of investigation","Final Report / Charge Sheet. Police officer shall forward report to Magistrate empowering to take cognizance."
174,12,"INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE","Police to enquire and report on suicide, etc.","Inquest report. Police to investigate unnatural deaths (suicide, homicide, accident, suspicious circumstances) and report to Executive Magistrate."
190,14,"CONDITIONS REQUISITE FOR INITIATION OF PROCEEDINGS","Cognizance of offences by Magistrates","Magistrate of first class (and empowered second class) may take cognizance of offence upon: (a) receiving complaint, (b) police report, (c) information from person other than police officer or own knowledge."
197,14,"CONDITIONS REQUISITE FOR INITIATION OF PROCEEDINGS","Prosecution of Judges and public servants","No Court shall take cognizance of offence alleged to have been committed by Judge/Magistrate/Public Servant (removable only by Govt sanction) while acting in discharge of official duty, except with previous sanction of Government."
200,15,"COMPLAINTS TO MAGISTRATES","Examination of complainant","Magistrate taking cognizance of offence on complaint shall examine upon oath the complainant and witnesses present."
204,16,"COMMENCEMENT OF PROCEEDINGS BEFORE MAGISTRATES","Issue of process","If Magistrate opinion there is sufficient ground for proceeding, issue summons (summons-case) or warrant/summons (warrant-case) for attendance of accused."
227,18,"TRIAL BEFORE A COURT OF SESSION","Discharge","If upon consideration of record and documents and hearing submissions, Judge considers that there is not sufficient ground for proceeding against accused, he shall discharge accused and record reasons."
228,18,"TRIAL BEFORE A COURT OF SESSION","Framing of charge","If Judge considers there is ground for presuming accused has committed offence, he shall frame charge in writing."
300,24,"GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS","Person once convicted or acquitted not to be tried for same offence","Person tried by Court of competent jurisdiction for offence and convicted/acquitted shall not be liable to be tried again for same offence (Double Jeopardy protection)."
304,24,"GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS","Legal aid to accused at State expense in certain cases","Where accused is not represented by pleader and has not sufficient means, Court shall assign pleader for defence at expense of State (Sessions trials and others via notification)."
311,24,"GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS","Power to summon material witness, or examine person present","Court may at any stage summon any person as witness or recall/re-examine any person if evidence appears essential to just decision of case."
313,24,"GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS","Power to examine the accused","Court may (and generally must) question accused to enable him to explain any circumstances appearing in evidence against him. No oath administered."
320,24,"GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS","Compounding of offences","Table specifies offences which can be compounded (settled) by specified persons (usually victim), either with or without permission of Court."
357,27,"THE JUDGMENT","Order to pay compensation","Court imposing sentence of fine or imprisonment may order whole or part of fine to be applied in defraying expenses of prosecution or compensation for loss/injury to victim."
374,29,"APPEALS","Appeals from convictions","Any person convicted on a trial held by High Court (extraordinary jurisdiction), Sessions Judge, or Metropolitan/Assistant Sessions/Magistrate may appeal to higher court (SC, HC, or Sessions Court) as specified."
389,29,"APPEALS","Suspension of sentence pending the appeal; release of appellant on bail","Appellate Court may suspend execution of sentence and facilitate release on bail during pendency of appeal."
397,30,"REFERENCE AND REVISION","Calling for records to exercise powers of revision","High Court or Sessions Judge may call for and examine record of any proceeding before any inferior Criminal Court to satisfy itself as to correctness, legality or propriety of any finding/sentence/order."
436,33,"PROVISIONS AS TO BAIL AND BONDS","In what cases bail to be taken","Person accused of bailable offence shall be released on bail as a matter of right. Indigent person may be released on personal bond."
436A,33,"PROVISIONS AS TO BAIL AND BONDS","Maximum period for which an undertrial prisoner can be detained","Where person has undergone detention for period extending up to one-half of maximum period of imprisonment specified for that offence, he shall be released on personal bond. (Excludes death penalty offences)."
437,33,"PROVISIONS AS TO BAIL AND BONDS","When bail may be taken in case of non-bailable offence","Magistrate may grant bail in non-bailable offences. RESTRICTIONS: 1. Reasonable grounds to believe guilty of offence punishable with death/life imprisonment. 2. Cognizable offence + previously convicted of death/life/7+ years offence or 2+ cognizable non-bailable offences. EXCEPTIONS: Under 16, woman, sick, infirm."
437A,33,"PROVISIONS AS TO BAIL AND BONDS","Bail to require accused to appear before next appellate Court","Before conclusion of trial/appeal, Court trying case shall require accused to execute bail bonds to appear before higher Court as and when notice issued (valid 6 months)."
438,33,"PROVISIONS AS TO BAIL AND BONDS","Direction for grant of bail to person apprehending arrest","(Anticipatory Bail). High Court or Sessions Court may direct that person be released on bail in event of arrest on accusation of non-bailable offence. Factors: gravity of accusation, antecedents, flight risk, humiliation intent."
439,33,"PROVISIONS AS TO BAIL AND BONDS","Special powers of High Court or Court of Session regarding bail","HC or Sessions Court may direct release on bail of any person in custody (broader powers than Magistrate). Can set aside/modify conditions imposed by Magistrate."
468,36,"LIMITATION FOR TAKING COGNIZANCE OF CERTAIN OFFENCES","Bar to taking cognizance after lapse of the period of limitation","Cognizance cannot be taken after: 6 months (fine only offence), 1 year (imprisonment <= 1 year), 3 years (imprisonment 1-3 years). E"
482,37,"MISCELLANEOUS","Saving of inherent powers of High Court","Nothing in this Code shall limit or affect inherent powers of High Court to make such orders as necessary to give effect to any order under Code, prevent abuse of process of Court, or secure ends of justice. (Quashing FIRs etc.)"
