Section,Description,Offense,Punishment,Cognizable,Bailable
34,"Acts done by several persons in furtherance of common intention","Acts done by several persons in furtherance of common intention","Same as for the offence committed","Depends on the offence","Depends on the offence"
120A,"Definition of criminal conspiracy","Definition of criminal conspiracy","-","-","-"
120B,"Punishment of criminal conspiracy","Criminal conspiracy","Same as for abetment of the offence (if punishable with death, life imprisonment or RI for 2+ years); otherwise 6 months or fine or both","Cognizable if the offence conspired is cognizable; Non-cognizable if offence is non-cognizable","Bailable if offence is bailable; Non-bailable if offence is non-bailable"
121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India","Waging or attempting to wage war, or abetting the waging of war, against the Government of India","Death, or imprisonment for life, and fine","Cognizable","Non-bailable"
124A,"Sedition","Sedition","Imprisonment for life, to which fine may be added; or imprisonment for 3 years, to which fine may be added; or fine","Cognizable","Non-bailable"
141,"Unlawful assembly","Unlawful assembly","-","-","-"
143,"Punishment for member of unlawful assembly","Being member of an unlawful assembly","Imprisonment for 6 months, or fine, or both","Cognizable","Bailable"
146,"Rioting","Rioting","-","-","-"
147,"Punishment for rioting","Rioting","Imprisonment for 2 years, or fine, or both","Cognizable","Bailable"
148,"Rioting, armed with deadly weapon","Rioting, armed with deadly weapon","Imprisonment for 3 years, or fine, or both","Cognizable","Bailable"
149,"Every member of unlawful assembly guilty of offence committed in prosecution of common object","Every member of unlawful assembly guilty of offence committed in prosecution of common object","Same as for the offence","Cognizable","Depends on the offence"
153A,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony","Promoting enmity between classes","Imprisonment for 3 years, or fine, or both","Cognizable","Non-bailable"
160,"Punishment for committing affray","Committing affray","Imprisonment for 1 month, or fine of 100 rupees, or both","Cognizable","Bailable"
171B,"Bribery","Bribery","-","-","-"
171E,"Punishment for bribery","Bribery","Imprisonment for 1 year, or fine, or both","Non-cognizable","Bailable"
186,"Obstructing public servant in discharge of public functions","Obstructing public servant in discharge of public functions","Imprisonment for 3 months, or fine of 500 rupees, or both","Non-cognizable","Bailable"
188,"Disobedience to order duly promulgated by public servant","Disobedience to order duly promulgated by public servant","Imprisonment for 1 month, or fine of 200 rupees, or both (simple); if causes danger to human life etc., 6 months or 1000 rupees or both","Cognizable","Bailable"
