act_name,section,description,notes
Transfer of Property Act,5,"'Transfer of property' defined.",property
Transfer of Property Act,54,"'Sale' defined. Sale how made (Registered instrument for value > Rs 100).",sale
Transfer of Property Act,58,"'Mortgage', 'mortgagor', 'mortgagee', 'mortgage-money' and 'mortgage-deed' defined.",mortgage
Transfer of Property Act,105,"'Lease' defined.",lease
Transfer of Property Act,122,"'Gift' defined.",gift
Consumer Protection Act (2019),2,"Definitions (Consumer, Defect, Deficiency, Unfair Trade Practice, Product Liability).",definitions
Consumer Protection Act (2019),35,"Manner in which complaint shall be made.",complaint
Consumer Protection Act (2019),83,"Penalty for manufacturing for sale or storing, selling or distributing or importing products containing adulterant.",offence
Consumer Protection Act (2019),89,"Punishment for false or misleading advertisement.",offence
Industrial Disputes Act,2(j),"Definition of 'Industry'. (Triple Test: Systematic Activity, Cooperation between Employer/Employee, Production of Goods/Services).",labor
Industrial Disputes Act,25F,"Conditions precedent to retrenchment of workmen. (1 month notice/pay + compensation).",labor
Code on Wages (2019),6,"Fixation of minimum wages.",wages
Code on Wages (2019),18,"Payment of wages. (Timely payment, mode of payment).",wages
Sexual Harassment of Women at Workplace (POSH) Act,4,"Constitution of Internal Complaints Committee (ICC). Mandatory for workplaces with 10+ employees.",compliance
Sexual Harassment of Women at Workplace (POSH) Act,9,"Complaint of sexual harassment. Aggrieved woman may make writing complaint within 3 months.",complaint
Maternity Benefit Act,5,"Right to payment of maternity benefit. 26 weeks paid leave.",benefit
